TIAA-CREF,Insurance,United States,NULL,America
Mitsubishi Electric,Electrical and electronic,Japan,NULL,Asia
Compaq Computer,Computer,United States,NULL,America
BP,Oil refining,United Kingdom,NULL,Europe
Bilibili,Internet,China,Shanghai,Eastern China
Carrefour,Retail,France,NULL,Europe
USX,Oil refining,United States,NULL,America
Sinopec,Petrochemical,China,Beijing,Northern China
Merck,Pharmaceutical,United States,NULL,America
AT&T,Telecommunications,United States,NULL,America
Deutsche Telekom,Telecommunications,Germany,NULL,Europe
Electricite De France,Electricity,France,NULL,Europe
J.P. Morgan Chase,Bank,United States,NULL,America
China Petroleum,Oil refining,China,Beijing,Northern China
Intl. Business Machines,Computer,United States,NULL,America
Ping An Insurance (Group) Company Of China,Insurance,China,Shenzhen,Southern China
Itochu,Diversify,Japan,NULL,Asia
China Merchants Bank,Bank,China,Shenzhen,Southern China
MetLife,Insurance,United States,NULL,America
Zurich Financial Services,Insurance,Switzerland,NULL,Europe
Motorola,Electrical and electronic,United States,NULL,America
Sony,Electrical and electronic,Japan,NULL,Asia
UBS,Bank,Switzerland,NULL,Europe
Intel,Semiconductor,United States,NULL,America
Sumitomo Life Insurance,Insurance,Japan,NULL,Asia
Merrill Lynch,Securities brokerage,United States,NULL,America
U.S. Postal Service,Postal parcels,United States,NULL,America
Fortis,Insurance,Netherlands/Belgium,NULL,Europe
SBC Communications,Telecommunications,United States,NULL,America
Boeing,Aerospace,United States,NULL,America
Ingram Micro,Retail,United States,NULL,America
Vivendi Universal,Amusement,France,NULL,Europe
Bank Of China,Bank,China,Beijing,Northern China
Wal-Mart Stores,Retail,United States,NULL,America
Suez,Water,France,NULL,Europe
China Electronics Technology Group Corporation,Electrical and electronic,China,Beijing,Northern China
Crижdit Agricole,Bank,France,NULL,Europe
Mitsui,Diversify,Japan,NULL,Asia
Fiat,Car,Italy,NULL,Europe
Assicurazioni Generali,Insurance,Italy,NULL,Europe
E.I. du Pont de Nemours,Chemistry,United States,NULL,America
E. ON,Diversify,Germany,NULL,Europe
Huawei,Computer,China,Shenzhen,Southern China
Siemens,Electrical and electronic,Germany,NULL,Europe
Fujitsu,Computer,Japan,NULL,Asia
Baidu,Internet,China,Beijing,Northern China
Marubeni,Diversify,Japan,NULL,Asia
Volkswagen,Car,Germany,NULL,Europe
Nissan Motor,Car,Japan,NULL,Asia
Alibaba,Internet,China,Hangzhou,Eastern China
United Parcel Service,Postal parcels,United States,NULL,America
Ford Motor,Car,United States,NULL,America
France Tижlижcom,Telecommunications,France,NULL,Europe
